TIM_DAY,ITE_AUCTION_START_DATETIME,ITE_AUCTION_STOP_DATETIME,DEALER_TYPE_GROUP_DESC,OPERATION,TOTAL_AREA,COVERED_AREA,BEDROOMS,ROOMS,ITE_ITEM_ID,PROPERTY_TYPE,SIT_CURRENCY_ID,ITE_CURRENT_PRICE,PRECIO_LOCAL,ID Final,mes,tc_prom,geometry,dummy_dolar,precio_pesos,precio_dolares,pesosm2tot,dolaresm2tot,pesosm2_cub,dolaresm2_cub,desarrollo prioritario,fid,cod_ent,cod_loc,nombre,zonas,Ambientes,digitos_iguales,digitos_iguales_pesos,digitos_iguales_m2tot,borrar
2024-08-30T00:00:00Z,2024-08-02T11:23:49.346000,45596.0,Inmobiliaria,Alquiler,46,43,1,2,NA,Departamento,ARG,400000,400000.0,1881218215,2024-08,1295.36,"c(-58.5309378, -34.600116)",FALSE,400000,308.79,8695.65,6.71,9302.33,7.18,DP,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-26T21:51:51.273000,45560.0,Fsbo,Alquiler,42,40,1,2,NA,Departamento,ARG,380000,380000.0,1892041971,2024-08,1295.36,"c(-58.5420864, -34.6016228)",FALSE,380000,293.35,9047.62,6.98,9500,7.33,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-28T16:37:52.456000,45622.0,Inmobiliaria,Alquiler,50,50,2,3,NA,Departamento,ARG,370000,370000.0,2791913961,2024-08,1295.36,"c(-58.539086, -34.601515)",FALSE,370000,285.63,7400,5.71,7400,5.71,DP,21,13,06840010,Santos Lugares,Este,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-25T21:51:59.033000,45619.0,Inmobiliaria,Alquiler,28,25,0,1,NA,Departamento,ARG,320000,320000.0,1891471127,2024-08,1295.36,"c(-58.5304892, -34.6082124)",FALSE,320000,247.04,11428.57,8.82,12800,9.88,NA,16,15,06840010,Villa Raffo,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-14T00:00:00Z,2024-08-14T14:38:46.010000,45608.0,Inmobiliaria,Alquiler,40,39,1,2,NA,Departamento,ARG,280000,280000.0,1886705667,2024-08,1295.36,"c(-58.5458816, -34.594183)",FALSE,280000,216.16,7000,5.4,7179.49,5.54,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-29T08:00:20.462000,45563.0,Fsbo,Alquiler,28,28,1,1,NA,Departamento,ARG,230000,230000.0,2792719721,2024-08,1295.36,"c(-58.5306827, -34.6315458)",FALSE,230000,177.56,8214.29,6.34,8214.29,6.34,DP,30,04,06840010,Ciudadela,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-05T00:00:00Z,2024-07-22T20:21:47.047000,45585.0,Inmobiliaria,Alquiler,32,28,1,1,NA,Departamento,ARG,300000,300000.0,1877783979,2024-08,1295.36,"c(-58.5677263, -34.5994688)",FALSE,300000,231.6,9375,7.24,10714.29,8.27,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-27T00:00:00Z,2024-08-20T09:53:20.605000,45614.0,Inmobiliaria,Alquiler,36,36,0,1,NA,Departamento,ARG,220000,220000.0,1889106151,2024-08,1295.36,"c(-58.558225, -34.607931)",FALSE,220000,169.84,6111.11,4.72,6111.11,4.72,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,45511.5343287037,45601.0,Inmobiliaria,Alquiler,60,55,1,2,NA,Departamento,ARG,250000,250000.0,1883761735,2024-08,1295.36,"c(-58.6129285, -34.5642777)",FALSE,250000,193,4166.67,3.22,4545.45,3.51,NA,26,07,06840010,Loma Hermosa,Norte,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-18T00:00:00Z,2024-07-14T19:32:11.712000,45577.0,Inmobiliaria,Alquiler,28,25,0,1,NA,Departamento,ARG,290000,290000.0,1875244699,2024-08,1295.36,"c(-58.530583, -34.607833)",FALSE,290000,223.88,10357.14,8,11600,8.96,NA,16,15,06840010,Villa Raffo,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-04T00:00:00Z,2024-08-01T17:21:28.239000,45595.0,Inmobiliaria,Alquiler,44,40,1,2,NA,Departamento,ARG,310000,310000.0,1880957119,2024-08,1295.36,"c(-58.5935491, -34.5885031)",FALSE,310000,239.32,7045.45,5.44,7750,5.98,NA,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,TRUE,FALSE
2024-08-13T00:00:00Z,2024-07-11T17:51:45.321000,45574.0,Inmobiliaria,Alquiler,46,41,1,2,NA,Departamento,ARG,450000,450000.0,1874528459,2024-08,1295.36,"c(-58.5334452, -34.607677)",FALSE,450000,347.39,9782.61,7.55,10975.61,8.47,NA,16,15,06840010,Villa Raffo,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-12T00:00:00Z,2024-07-02T13:14:42.011000,45565.0,Inmobiliaria,Alquiler,28,28,0,1,NA,Departamento,ARG,300000,300000.0,1871398251,2024-08,1295.36,"c(-58.5305742, -34.608136)",FALSE,300000,231.6,10714.29,8.27,10714.29,8.27,NA,16,15,06840010,Villa Raffo,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-06T16:50:53.917000,45618.0,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,300000,300000.0,2749947069,2024-08,1295.36,"c(-58.5419294, -34.6370859)",FALSE,300000,231.6,7500,5.79,7500,5.79,NA,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-08T00:00:00Z,2024-05-21T16:00:02.007000,2024-08-29T04:13:27.671000,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,300000,300000.0,2562529713,2024-08,1295.36,"c(-58.5915502, -34.5975349)",FALSE,300000,231.6,6666.67,5.15,6666.67,5.15,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-20T00:00:00Z,2024-08-15T09:50:02.562000,45609.0,Inmobiliaria,Alquiler,50,45,1,0,NA,Departamento,ARG,250000,250000.0,1887054139,2024-08,1295.36,"c(-58.5675635, -34.5941187)",FALSE,250000,193,5000,3.86,5555.56,4.29,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-20T09:48:34.721000,45614.0,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,270000,270000.0,1889157091,2024-08,1295.36,"c(-58.593999, -34.593714)",FALSE,270000,208.44,6750,5.21,6750,5.21,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-12T00:00:00Z,2024-07-19T13:46:07.967000,45582.0,Inmobiliaria,Alquiler,37,34,0,1,NA,Departamento,ARG,190000,190000.0,1876882967,2024-08,1295.36,"c(-58.5871635, -34.5855219)",FALSE,190000,146.68,5135.14,3.96,5588.24,4.31,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-07-29T16:17:45.520000,45592.0,Inmobiliaria,Alquiler,47,40,1,2,NA,Departamento,ARG,300000,300000.0,1879556167,2024-08,1295.36,"c(-58.5893176, -34.5809739)",FALSE,300000,231.6,6382.98,4.93,7500,5.79,NA,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-14T00:00:00Z,2024-07-23T17:22:32.907000,45586.0,Inmobiliaria,Alquiler,45,45,1,2,NA,Departamento,ARG,310000,310000.0,1878218171,2024-08,1295.36,"c(-58.5309378, -34.600116)",FALSE,310000,239.32,6888.89,5.32,6888.89,5.32,DP,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-13T22:15:28.407000,45607.0,Inmobiliaria,Alquiler,60,50,2,3,NA,Departamento,ARG,340000,340000.0,2764677001,2024-08,1295.36,"c(-58.5713466, -34.605581)",FALSE,340000,262.48,5666.67,4.37,6800,5.25,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-22T00:00:00Z,2024-08-21T11:02:00.902000,2024-09-20T00:00:20.598000,Fsbo,Alquiler,46,46,1,2,NA,Departamento,ARG,420000,420000.0,2778787445,2024-08,1295.36,"c(-58.592569, -34.6027701)",FALSE,420000,324.23,9130.43,7.05,9130.43,7.05,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-07-24T20:25:43.134000,45587.0,Inmobiliaria,Alquiler,45,40,1,2,NA,Departamento,ARG,280000,280000.0,2717056013,2024-08,1295.36,"c(-58.5842705, -34.6079225)",FALSE,280000,216.16,6222.22,4.8,7000,5.4,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-12T00:00:00Z,2024-08-03T11:45:23.626000,45597.0,Inmobiliaria,Alquiler,47,42,1,2,NA,Departamento,ARG,280000,280000.0,2741405201,2024-08,1295.36,"c(-58.5592254, -34.6078025)",FALSE,280000,216.16,5957.45,4.6,6666.67,5.15,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-01T00:00:00Z,2024-07-23T18:48:10.862000,45586.0,Inmobiliaria,Alquiler,60,60,2,0,NA,Departamento,ARG,450000,450000.0,1878203303,2024-08,1295.36,"c(-58.5780518, -34.5787708)",FALSE,450000,347.39,7500,5.79,7500,5.79,NA,22,14,06840010,Villa Bosch,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-13T00:00:00Z,2024-08-12T11:20:23.011000,45606.0,Inmobiliaria,Alquiler,47,47,1,2,NA,Departamento,ARG,360000,360000.0,2761179201,2024-08,1295.36,"c(-58.5659551, -34.6028368)",FALSE,360000,277.92,7659.57,5.91,7659.57,5.91,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-07-18T17:41:20.866000,45581.0,Inmobiliaria,Alquiler,28,25,1,1,NA,Departamento,ARG,250000,250000.0,2701952129,2024-08,1295.36,"c(-58.5612342, -34.6014782)",FALSE,250000,193,8928.57,6.89,10000,7.72,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-27T00:00:00Z,2024-08-23T11:22:52.524000,45617.0,Inmobiliaria,Alquiler,38,38,1,2,NA,Departamento,ARG,325000,325000.0,1890490407,2024-08,1295.36,"c(-58.5395354, -34.6414452)",FALSE,325000,250.9,8552.63,6.6,8552.63,6.6,DP,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-07-25T11:30:25.337000,45588.0,Inmobiliaria,Alquiler,42,42,1,1,NA,Departamento,ARG,309000,309000.0,1878537647,2024-08,1295.36,"c(-58.5659551, -34.6028368)",FALSE,309000,238.54,7357.14,5.68,7357.14,5.68,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-28T00:00:00Z,2024-07-19T09:38:57.119000,2024-10-19T14:18:32.836000,Inmobiliaria,Alquiler,38,38,2,3,NA,Departamento,ARG,240000,240000.0,2702439353,2024-08,1295.36,"c(-58.556681, -34.6217153)",FALSE,240000,185.28,6315.79,4.88,6315.79,4.88,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-19T00:00:00Z,2024-08-19T09:48:48.762000,45613.0,Inmobiliaria,Alquiler,42,40,1,2,NA,Departamento,ARG,310000,310000.0,2773612713,2024-08,1295.36,"c(-58.5377583, -34.5999896)",FALSE,310000,239.32,7380.95,5.7,7750,5.98,NA,29,12,06840010,Sáenz Peña,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-13T00:00:00Z,2024-07-04T18:12:32.291000,45567.0,Inmobiliaria,Alquiler,50,50,1,2,NA,Departamento,ARG,380000,380000.0,1872131271,2024-08,1295.36,"c(-58.5946879, -34.6046126)",FALSE,380000,293.35,7600,5.87,7600,5.87,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-06-13T14:35:01.133000,45546.0,Inmobiliaria,Alquiler,40,35,0,0,NA,Departamento,ARG,200000,200000.0,2619427529,2024-08,1295.36,"c(-58.5780392, -34.5787462)",FALSE,200000,154.4,5000,3.86,5714.29,4.41,NA,22,14,06840010,Villa Bosch,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-18T00:00:00Z,2024-08-14T17:02:02.249000,45608.0,Inmobiliaria,Alquiler,37,35,1,2,NA,Departamento,ARG,260000,260000.0,2766661725,2024-08,1295.36,"c(-58.5616312, -34.59919)",FALSE,260000,200.72,7027.03,5.42,7428.57,5.73,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-19T00:00:00Z,2024-08-17T09:11:46.753000,45611.0,Inmobiliaria,Alquiler,80,60,2,0,NA,Departamento,ARG,350000,350000.0,1888102087,2024-08,1295.36,"c(-58.5892851, -34.5819842)",FALSE,350000,270.2,4375,3.38,5833.33,4.5,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-20T10:43:57.429000,45614.0,Inmobiliaria,Alquiler,28,25,0,1,NA,Departamento,ARG,290000,290000.0,2776490777,2024-08,1295.36,"c(-58.530583, -34.607833)",FALSE,290000,223.88,10357.14,8,11600,8.96,NA,16,15,06840010,Villa Raffo,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-13T22:15:28.658000,45607.0,Inmobiliaria,Alquiler,60,50,2,3,NA,Departamento,ARG,340000,340000.0,2764805469,2024-08,1295.36,"c(-58.5713466, -34.605581)",FALSE,340000,262.48,5666.67,4.37,6800,5.25,NA,18,01,06840010,Caseros,Caseros,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-23T09:18:38.901000,2024-09-22T00:01:02.816000,Fsbo,Alquiler,39,35,1,2,NA,Departamento,ARG,200000,200000.0,2782668413,2024-08,1295.36,"c(-58.6219301, -34.5657806)",FALSE,200000,154.4,5128.21,3.96,5714.29,4.41,NA,25,09,06840010,11 de Septiembre,Norte,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-29T00:00:00Z,2024-07-10T13:48:54.872000,2024-10-10T11:21:09.897000,Inmobiliaria,Alquiler,55,45,1,2,NA,Departamento,ARG,340000,340000.0,2682604013,2024-08,1295.36,"c(-58.5550632, -34.6098279)",FALSE,340000,262.48,6181.82,4.77,7555.56,5.83,NA,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,TRUE,FALSE
2024-08-30T00:00:00Z,2024-08-07T15:17:45.079000,45601.0,Inmobiliaria,Alquiler,36,31,0,1,NA,Departamento,ARG,270000,270000.0,1883951287,2024-08,1295.36,"c(-58.5656686, -34.6038293)",FALSE,270000,208.44,7500,5.79,8709.68,6.72,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-20T00:00:00Z,2024-08-07T22:15:28.772000,45601.0,Inmobiliaria,Alquiler,40,37,1,2,NA,Departamento,ARG,300000,300000.0,1883992915,2024-08,1295.36,"c(-58.5660234, -34.6009575)",FALSE,300000,231.6,7500,5.79,8108.11,6.26,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-19T17:49:48.302000,45613.0,Inmobiliaria,Alquiler,35,33,1,2,NA,Departamento,ARG,260000,260000.0,1888924299,2024-08,1295.36,"c(-58.5619652, -34.605987)",FALSE,260000,200.72,7428.57,5.73,7878.79,6.08,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-08T00:00:00Z,2024-07-10T17:11:35.578000,45573.0,Inmobiliaria,Alquiler,45,40,1,2,NA,Departamento,ARG,390000,390000.0,2682488037,2024-08,1295.36,"c(-58.5937054, -34.6044063)",FALSE,390000,301.07,8666.67,6.69,9750,7.53,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-06T00:00:00Z,45468.71842592592,45558.0,Inmobiliaria,Alquiler,52,50,1,2,NA,Departamento,ARG,350000,350000.0,2648458265,2024-08,1295.36,"c(-58.5446847, -34.5980443)",FALSE,350000,270.2,6730.77,5.2,7000,5.4,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-04T00:00:00Z,2024-07-30T19:24:32.668000,45593.0,Inmobiliaria,Alquiler,40,36,1,0,NA,Departamento,ARG,330000,330000.0,1880126331,2024-08,1295.36,"c(-58.5345961, -34.5994529)",FALSE,330000,254.76,8250,6.37,9166.67,7.08,NA,29,12,06840010,Sáenz Peña,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-11T00:00:00Z,2024-08-08T17:52:07.895000,45602.0,Inmobiliaria,Alquiler,65,61,2,3,NA,Departamento,ARG,430000,430000.0,2754637025,2024-08,1295.36,"c(-58.5922748, -34.5999731)",FALSE,430000,331.95,6615.38,5.11,7049.18,5.44,NA,19,03,06840010,Ciudad Jardín Lomas del Palomar,Centro,Mas de 3 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-26T18:45:24.856000,45620.0,Inmobiliaria,Alquiler,60,50,2,0,NA,Departamento,ARG,500000,500000.0,1892101163,2024-08,1295.36,"c(-58.5787977, -34.593197)",FALSE,500000,385.99,8333.33,6.43,10000,7.72,NA,20,08,06840010,Martín Coronado,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-22T00:00:00Z,2024-07-23T14:25:14.485000,45586.0,Inmobiliaria,Alquiler,25,25,0,1,NA,Departamento,ARG,210000,210000.0,2712555001,2024-08,1295.36,"c(-58.5427411, -34.6380474)",FALSE,210000,162.12,8400,6.48,8400,6.48,DP,30,04,06840010,Ciudadela,Sur,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-07-24T15:04:37.098000,45587.0,Inmobiliaria,Alquiler,42,37,1,2,NA,Departamento,ARG,320000,320000.0,1878332099,2024-08,1295.36,"c(-58.558206, -34.607941)",FALSE,320000,247.04,7619.05,5.88,8648.65,6.68,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-26T12:57:59.568000,45620.0,Inmobiliaria,Alquiler,37,35,0,1,NA,Departamento,ARG,300000,300000.0,1891830711,2024-08,1295.36,"c(-58.5659551, -34.6028368)",FALSE,300000,231.6,8108.11,6.26,8571.43,6.62,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-08T00:00:00Z,2024-07-19T11:02:37.863000,45585.0,Inmobiliaria,Alquiler,42,40,1,2,NA,Departamento,ARG,300000,300000.0,1876763899,2024-08,1295.36,"c(-58.5495429, -34.6395887)",FALSE,300000,231.6,7142.86,5.51,7500,5.79,NA,30,04,06840010,Ciudadela,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-20T00:00:00Z,2024-06-05T11:15:03.912000,45538.0,Inmobiliaria,Alquiler,40,40,1,2,NA,Departamento,ARG,250000,250000.0,1861587127,2024-08,1295.36,"c(-58.5653842, -34.6010952)",FALSE,250000,193,6250,4.82,6250,4.82,DP,18,01,06840010,Caseros,Caseros,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-14T00:00:00Z,2024-07-25T10:13:11.578000,45588.0,Inmobiliaria,Alquiler,53,43,1,2,NA,Departamento,ARG,500000,500000.0,1878608107,2024-08,1295.36,"c(-58.5304892, -34.6082124)",FALSE,500000,385.99,9433.96,7.28,11627.91,8.98,NA,16,15,06840010,Villa Raffo,Sur,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-15T00:00:00Z,2024-08-13T18:26:11.100000,45607.0,Inmobiliaria,Alquiler,45,37,1,2,NA,Departamento,ARG,300000,300000.0,1886189187,2024-08,1295.36,"c(-58.5419046, -34.603249)",FALSE,300000,231.6,6666.67,5.15,8108.11,6.26,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-06-26T16:18:52.364000,45559.0,Inmobiliaria,Alquiler,36,36,0,0,NA,Departamento,ARG,200000,200000.0,1869439447,2024-08,1295.36,"c(-58.6095467, -34.5616623)",FALSE,200000,154.4,5555.56,4.29,5555.56,4.29,NA,27,05,06840010,El Libertador,Norte,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-20T10:39:56.335000,45614.0,Inmobiliaria,Alquiler,42,40,1,2,NA,Departamento,ARG,320000,320000.0,1889294707,2024-08,1295.36,"c(-58.540103, -34.600913)",FALSE,320000,247.04,7619.05,5.88,8000,6.18,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-04T00:00:00Z,2024-07-18T09:59:38.383000,45581.0,Inmobiliaria,Alquiler,50,40,1,0,NA,Departamento,ARG,270000,270000.0,2700258973,2024-08,1295.36,"c(-58.5612916, -34.6001473)",FALSE,270000,208.44,5400,4.17,6750,5.21,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-30T00:00:00Z,2024-08-10T09:05:00.463000,45604.0,Inmobiliaria,Alquiler,47,40,1,2,NA,Departamento,ARG,320000,320000.0,1885020435,2024-08,1295.36,"c(-58.5893876, -34.5812675)",FALSE,320000,247.04,6808.51,5.26,8000,6.18,NA,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-11T00:00:00Z,2024-08-08T14:26:04.914000,45602.0,Inmobiliaria,Alquiler,46,43,1,2,NA,Departamento,ARG,320000,320000.0,1884391675,2024-08,1295.36,"c(-58.54249, -34.601103)",FALSE,320000,247.04,6956.52,5.37,7441.86,5.75,DP,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-27T00:00:00Z,2024-08-26T19:28:41.508000,45620.0,Inmobiliaria,Alquiler,42,38,0,1,NA,Departamento,ARG,280000,280000.0,1892129731,2024-08,1295.36,"c(-58.566248, -34.589341)",FALSE,280000,216.16,6666.67,5.15,7368.42,5.69,NA,22,14,06840010,Villa Bosch,Centro,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-15T00:00:00Z,2024-08-13T10:08:32.178000,45607.0,Inmobiliaria,Alquiler,60,40,1,0,NA,Departamento,ARG,400000,400000.0,1885962743,2024-08,1295.36,"c(-58.5437009, -34.596393)",FALSE,400000,308.79,6666.67,5.15,10000,7.72,NA,21,13,06840010,Santos Lugares,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-23T00:00:00Z,2024-08-17T18:02:15.038000,45611.0,Inmobiliaria,Alquiler,37,32,0,1,NA,Departamento,ARG,280000,280000.0,2772112321,2024-08,1295.36,"c(-58.5248025, -34.5992554)",FALSE,280000,216.16,7567.57,5.84,8750,6.76,DP,29,12,06840010,Sáenz Peña,Este,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-21T00:00:00Z,2024-08-02T17:31:38.099000,45596.0,Inmobiliaria,Alquiler,33,30,1,1,NA,Departamento,ARG,260000,260000.0,2740493605,2024-08,1295.36,"c(-58.5478112, -34.6031773)",FALSE,260000,200.72,7878.79,6.08,8666.67,6.69,DP,21,13,06840010,Santos Lugares,Este,1 ambiente,FALSE,FALSE,TRUE,FALSE
2024-08-30T00:00:00Z,2024-07-29T08:22:14.965000,45592.0,Inmobiliaria,Alquiler,25,25,1,1,NA,Departamento,ARG,250000,250000.0,2727796565,2024-08,1295.36,"c(-58.5681312, -34.6160528)",FALSE,250000,193,10000,7.72,10000,7.72,NA,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-29T00:00:00Z,2024-08-03T12:07:38.184000,2024-11-03T11:21:07.991000,Inmobiliaria,Alquiler,59,50,1,2,NA,Departamento,ARG,340000,340000.0,2741562713,2024-08,1295.36,"c(-58.591364, -34.5816931)",FALSE,340000,262.48,5762.71,4.45,6800,5.25,NA,20,08,06840010,Martín Coronado,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-14T00:00:00Z,2024-08-13T09:43:28.367000,45607.0,Inmobiliaria,Alquiler,42,36,1,2,NA,Departamento,ARG,230000,230000.0,1886139359,2024-08,1295.36,"c(-58.5904205, -34.5732)",FALSE,230000,177.56,5476.19,4.23,6388.89,4.93,NA,22,14,06840010,Villa Bosch,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-08T00:00:00Z,2024-07-18T15:51:32.723000,45761.0,Inmobiliaria,Alquiler,36,32,1,1,NA,Departamento,ARG,250000,250000.0,2701511541,2024-08,1295.36,"c(-58.5659551, -34.6028368)",FALSE,250000,193,6944.44,5.36,7812.5,6.03,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-26T00:00:00Z,2024-08-02T12:59:54.958000,45596.0,Inmobiliaria,Alquiler,33,31,0,1,NA,Departamento,ARG,270000,270000.0,1881315759,2024-08,1295.36,"c(-58.5494647, -34.5943674)",FALSE,270000,208.44,8181.82,6.32,8709.68,6.72,NA,21,13,06840010,Santos Lugares,Este,1 ambiente,FALSE,FALSE,TRUE,FALSE
2024-08-05T00:00:00Z,45421.64815972222,45511.0,Inmobiliaria,Alquiler,42,40,1,2,NA,Departamento,ARG,260000,260000.0,2534567905,2024-08,1295.36,"c(-58.5829856, -34.5817241)",FALSE,260000,200.72,6190.48,4.78,6500,5.02,NA,22,14,06840010,Villa Bosch,Centro,2 ambientes,FALSE,FALSE,FALSE,FALSE
2024-08-04T00:00:00Z,2024-07-23T13:14:12.553000,45586.0,Inmobiliaria,Alquiler,38,30,0,1,NA,Departamento,ARG,240000,240000.0,2712524661,2024-08,1295.36,"c(-58.567173, -34.601009)",FALSE,240000,185.28,6315.79,4.88,8000,6.18,DP,18,01,06840010,Caseros,Caseros,1 ambiente,FALSE,FALSE,FALSE,FALSE
2024-08-05T00:00:00Z,2024-06-18T08:58:17.555000,45551.0,Inmobiliaria,Alquiler,46,42,1,2,NA,Departamento,ARG,290000,290000.0,2628418985,2024-08,1295.36,"c(-58.5483896, -34.5958486)",FALSE,290000,223.88,6304.35,4.87,6904.76,5.33,NA,21,13,06840010,Santos Lugares,Este,2 ambientes,FALSE,FALSE,FALSE,FALSE
